extant,p_hat,min_mu,max_mu
8,5.56885e-09,9.20675e-11,4.03498e-10
12,4.26945e-08,4.49825e-10,1.98171e-09
16,5.38322e-08,4.16205e-10,1.83808e-09
20,6.68261e-08,4.08055e-10,1.80465e-09
24,8.5389e-08,4.30834e-10,1.90716e-09
28,9.83829e-08,4.22932e-10,1.8734e-09
32,1.37365e-07,5.14382e-10,2.27959e-09
48,3.06286e-07,7.56719e-10,3.3573e-09
75,1.01167e-06,1.58784e-09,7.05028e-09
100,2.80855e-06,3.29524e-09,1.46365e-08
