extant,p_hat,min_mu,max_mu
8,1.00091e-08,1.65476e-10,7.25221e-10
12,2.33545e-08,2.46061e-10,1.08402e-09
16,5.33817e-08,4.12723e-10,1.8227e-09
20,6.67272e-08,4.07451e-10,1.80198e-09
24,8.67453e-08,4.37678e-10,1.93745e-09
28,1.26782e-07,5.45013e-10,2.41417e-09
32,2.43554e-07,9.12023e-10,4.04182e-09
48,1.08765e-06,2.68718e-09,1.19221e-08
75,4.66089e-06,7.31537e-09,3.24815e-08
100,1.5107e-05,1.7725e-08,7.87294e-08


