extant,p_hat,min_mu,max_mu
8,3.88604e-09,6.42464e-11,2.81568e-10
12,5.05186e-08,5.32259e-10,2.34487e-09
16,7.77209e-08,6.00902e-10,2.65375e-09
20,1.16581e-07,7.11871e-10,3.14829e-09
24,1.39898e-07,7.05861e-10,3.12461e-09
28,1.49613e-07,6.4316e-10,2.84891e-09
32,1.671e-07,6.25729e-10,2.77305e-09
48,2.75909e-07,6.81668e-10,3.02433e-09
75,6.83944e-07,1.07346e-09,4.76635e-09
100,1.93331e-06,2.26833e-09,1.00752e-08
